salary,city,cc
$24191.15,Manika,1122
$14102.15,Sadabe,148
$6136.24,Nawābganj,1036
$46767.93,Tuntum,154
$21972.34,San Lorenzo,1197
$91147.90,San José,1458
$27438.89,Cortiços,640
$98609.75,Al Quwaysimah,423
$92561.89,Esquina,832
$50322.76,Luzhuangzi,1003
$38513.07,Adolfo Ruiz Cortines,142
$68407.81,Munduk,1185
$39647.88,Garoua,338
$82887.05,Esquina,867
$47396.78,Lewotukan,550
$68737.79,Tengqiao,97
$58003.86,Tromsø,484
$96944.30,Tetyushi,995
$19497.17,Banyubang,610
$39889.47,Zaslawye,514
$97827.01,Tanguá,247
$18681.60,Zea,1187
$81818.03,Zhongzhai,697
$97051.70,Guadalupe,437
$69667.00,Bat Khela,85
$69879.61,Luleå,706
$32624.89,Gubat,223
$57428.51,Szprotawa,91
$66750.29,Talospatang,714
$47998.09,Dębowa Łąka,413
$95580.43,Santa Cruz de Barahona,786
$4566.07,Krasica,463
$15429.21,Jönköping,655
$43705.80,Buenavista,1242
$47385.33,Taesal-li,214
$53376.13,Los Angeles,1093
$30921.28,Baiyanghe,131
$73678.29,Four Cross Roads,625
$5806.78,Kitami,875
$8050.41,Singabarong,775
$32475.48,Bordeaux,415
$27080.24,Cantuk Kidul,936
$48910.15,Qilong,1490
$33589.00,Lajedo,1381
$32559.12,Banjar Wates Tengah,608
$57719.31,Quanzhou,1442
$63744.67,Kafr Sawm,634
$61600.61,Hexi,271
$33281.42,Paris 19,652
$35293.70,Lieqiao,1387
$39150.89,Almeria,714
$68710.64,Daohe,1310
$62166.26,Kyzylorda,135
$65218.27,Paris 07,96
$13310.82,Leyuan,1280
$55357.03,Hemudu,716
$23815.22,Elassóna,1141
$80136.25,Monchegorsk,1443
$41358.79,Bafoussam,1072
$13441.11,Dongxin,542
$90454.07,Gaiyang,392
$3130.71,Rebe,1278
$81146.20,Dame-Marie,428
$84306.55,Potlot,1376
$8589.68,Carolina,1246
$70966.51,Martin,703
$16210.52,Grande Prairie,784
$96042.32,Quvasoy,231
$59650.48,Puyo,202
$60969.85,Kurovskoye,92
$51979.44,Baghdad,511
$57526.78,Tiecun,1247
$26727.56,Senduro,644
$89132.68,Qarshi,1363
$53478.84,Kill,1466
$94214.40,Hato Mayor del Rey,785
$21888.57,Zoumaling,260
$25631.66,Santo Niño,849
$46514.75,Kharkhorin,782
$91193.66,Jasionów,1438
$74790.30,Tanjungbatu,1426
$72787.64,Ijuw,738
$10632.87,Wurno,1010
$38098.01,Dingtao,866
$80432.36,Bang Ban,1338
$6516.89,Gaocheng,699
$24410.90,Barraute,324
$8047.52,Yosowilangun,458
$89769.24,Paamiut,194
$97605.00,Xinjian,299
$42009.31,Veiga,1435
$52278.02,Borovskoy,1262
$63639.58,Bila Krynytsya,1255
$30109.57,Mtwara,1398
$85715.07,Cihurip Satu,1345
$94912.76,Otaslavice,710
$90797.08,Torrão,1273
$88642.25,Pruchnik,158
$12609.08,Sabang,952
$45921.69,Piteå,1313
$73295.05,Porsgrunn,1036
$26263.54,Bourges,108
$61191.85,Vacaria,587
$69173.06,Pirava,729
$65579.91,Beraim,256
$3955.31,Belung Satu,1018
$20946.92,Údlice,201
$1227.34,Bykhaw,1310
$60514.78,Kuala Lumpur,361
$39469.75,Budapest,1371
$2639.24,Marxog,808
$11537.48,Armação de Búzios,1300
$67907.23,Ciudad Bolívar,1167
$54183.90,Salto de Pirapora,309
$72798.08,New York City,763
$5418.32,Stari Grad,976
$17147.42,Progreso,573
$62075.11,Tianbao,278
$44099.34,Zliv,913
$86188.60,Kutacane,859
$64985.15,Mitrovicë,358
$33635.68,Ocala,1488
$32290.78,Vinkkilä,7
$15501.44,Muro,1048
$71735.91,Malvern,67
$4645.78,Malko Tŭrnovo,1292
$41958.52,Odawara,854
$33014.63,Sjöbo,264
$69153.64,Lamu,1259
$34384.15,Tuochuan,1486
$98744.37,Gagarin,1345
$84356.25,Palangue,214
$10872.61,Princeville,551
$20013.09,Gunungsari,1460
$28055.63,Beloye,434
$42841.96,Anxiang,1102
$11748.08,Cinangka,198
$90287.33,Levallois-Perret,799
$40987.72,Novomoskovsk,466
$57124.56,Křižanov,1178
$31156.08,Krasnohrad,769
$1896.12,Croissy-sur-Seine,1097
$94085.98,Pozhang,1392
$24852.61,Chidian,232
$50888.03,Tongquan,909
$82722.34,Yangqiaodian,1293
$15716.44,Žagarė,1312
$7159.98,Caculé,1025
$72132.38,Boavista,115
$31160.90,Cihe,1482
$38130.25,Thiès Nones,230
$10256.54,Trawniki,1248
$56037.75,Kohāt,157
$17547.12,Ronneby,1500
$25736.70,Emmeloord,1385
$31163.80,Adiwerna,488
$51541.78,Capalonga,1343
$31804.44,Riosucio,896
$83721.29,Resende,1059
$52683.19,Mendefera,397
$92169.23,Koumac,931
$24345.37,Gyumri,1298
$21573.78,Carvoeira,414
$85663.87,Wolbrom,370
$45163.01,Houston,1331
$6831.40,Sapareva Banya,1387
$25470.59,Marxog,1271
$84835.40,Wudian,1121
$19340.09,Ayabe,712
$92809.13,Qingxi,380
$16469.17,Gengcheng,255
$26568.77,Duwakbuter,1250
$53715.20,Taphan Hin,1293
$38892.23,Nanae,571
$42269.39,Stírion,307
$22203.70,Primorka,48
$56154.53,Antipolo,14
$65537.85,Tingsiqiao,1099
$69753.25,Brodósqui,796
$23031.55,Guadalupe,77
$27513.35,Ostroměř,641
$84580.37,Franca,1406
$54821.57,Prado,317
$69055.30,Oleiros,300
$45962.20,Iraquara,274
$93779.42,Cikawunggading,188
$60340.05,Qinghua,647
$67492.86,Gornja Koprivna,1467
$96285.75,Santa Cruz del Quiché,941
$66140.86,Fort Portal,385
$29882.79,Mufushan,1125
$38933.42,Kvartsitnyy,1043
$58955.21,Vilémov,589
$25402.32,Charlotte,1293
$23216.04,Tembayangan Barat,1281
$3890.20,Beruniy,551
$10483.08,Fareydūnshahr,73
$73327.22,Lumphăt,34
$25149.72,Kakuda,427
$71460.71,La Guadalupe,1437
$73216.66,Shatalovo,1411
$67739.20,Jiayi,662
$63028.34,Jiangtou,1494
$71935.10,Śmiłowo,204
$7041.90,Ibirataia,1358
$7510.26,Pekuncen,2
$13689.45,Pueblo Nuevo Viñas,872
$48601.92,Bolnisi,360
$13698.38,Guaramirim,1140
$34905.16,Berlin,415
$34356.12,Hongqi,1340
$21107.47,Macapsing,342
$60152.41,Cacoal,95
$94080.06,Wanzhai,405
$32465.55,Xiaozhoushan,342
$67633.93,Rurrenabaque,136
$30432.90,Šimanovci,1241
$82249.38,Palencia,221
$27260.07,Kebunan,104
$19630.80,Ta’erqi,381
$76497.39,Anbyŏn-ŭp,656
$83322.46,Ruma,652
$3005.46,Qiaolin,316
$22238.64,Sungaibengkal,660
$99996.41,Macun,511
$63756.37,Ajax,16
$30490.74,Mamboma,1049
$2382.34,Najin,428
$23514.00,Guancangping,753
$2995.37,Tambawel,694
$31282.90,Seremban,710
$34038.99,Vysehrad,964
$15277.32,Lampa,218
$93569.30,Pasirjengkol,1214
$897.39,Neftegorsk,1039
$49172.95,Naas,895
$63772.36,Ibaraki,208
$62980.58,Tuban,711
$222.51,Klenčí pod Čerchovem,1309
$8798.13,Nemby,1142
$8704.98,Kon Dơng,1393
$20556.53,Vogan,1218
$61218.22,Ust’-Isha,1008
$92081.66,Bridel,404
$25767.34,Hadžići,1388
$3592.55,Novo Hamburgo,344
$19209.80,Punta Gorda,108
$41418.09,Canillo,358
$52609.44,Teroual,948
$81981.87,Limbangan,191
$99875.63,Hanover,1390
$8459.98,Kurumoch,1472
$32093.81,Na Chaluai,17
$4928.99,Muting,1213
$67585.38,Drummondville,1313
$76126.25,Nowosielce,514
$37827.86,Bluefields,1198
$33413.73,Idalolong,1174
$28610.39,Siikajoki,1170
$89181.20,Mbinga,577
$9203.93,Yuyue,842
$31839.45,Gvozd,49
$45058.73,Lens,133
$44814.04,Nashville,1456
$15108.15,Araras,379
$41005.23,Bambor,69
$74699.50,Yuncheng,1277
$74387.91,Naviraí,1055
$98282.01,Ciénega,919
$5171.14,Reston,863
$38369.22,Vilarinho da Castanheira,516
$59850.25,Fujishiro,1403
$64612.82,Laagri,1076
$4847.19,Berezniki,1181
$98262.12,Sotteville-lès-Rouen,173
$67061.69,Buchou,548
$49262.39,Parchal,211
$66087.99,Saku,331
$33390.34,Nantai,471
$26710.37,Ar Rass,1387
$22806.59,Hanjiaji,1355
$86477.71,Dalsjöfors,1167
$49779.39,São Domingos,454
$99452.65,Piteå,558
$54935.70,Karanglo,759
$35202.90,Sula,160
$2891.85,Acas,229
$48713.77,Zheyuan,213
$22575.36,Nizhniye Vyazovyye,1218
$40624.08,Shuiyuan,562
$78351.36,Kalidawe,686
$76485.91,Contraalmirante Cordero,745
$59084.92,Karangmangu,1253
$95851.35,Kingisepp,443
$97588.43,Betania,445
$94268.48,Los Pinos,380
$70705.08,Zhangjia,573
$11809.67,Grande Rivière Noire,1483
$86451.00,Tobias Fornier,637
$16305.28,Jawa,909
$50657.63,Pepayan,1123
$71033.27,Yong’an,56
$24872.66,Bantogon,454
$5964.67,São Sebastião,80
$79945.47,Klerksdorp,1388
$26730.46,Fort Portal,1427
$13255.45,Sigma,1308
$16897.24,Hovås,1400
$51932.43,Partido,365
$17202.65,Stuttgart,600
$55327.51,Chenji,83
$13413.06,Mazār-e Sharīf,556
$56831.62,Kalidawe,103
$92659.75,Svedala,536
$55910.16,Marolambo,271
$95960.57,Qufu,183
$95489.93,Anyama,757
$37381.35,Novonukutskiy,1253
$78832.38,Tchaourou,173
$42453.86,Sydney,168
$13131.90,Ulaan Khat,1383
$52542.71,Kutasari,1370
$78338.06,Hacı Zeynalabdin,410
$61053.92,Dno,218
$69711.57,Masinloc,1246
$15019.39,Mangusu,1234
$54782.52,Krajan Timur Mlokorejo,339
$81698.52,Niugan,1347
$18014.64,Shikou,1155
$25313.25,Liebu,852
$72472.27,Nguékhokh,748
$9644.15,Lianghu,1383
$466.85,Fujia,131
$45546.18,Baguim do Monte,544
$23624.51,Santo Estêvão,92
$76146.54,Miān Channūn,892
$56313.57,Soko,1143
$38757.17,Torrevieja,565
$45149.46,Refojos,399
$30062.22,Kilim,994
$30338.85,Beauceville,1171
$89790.11,Alvarães,1369
$33231.94,Pengfang,661
$74798.77,Sierakowice,358
$77816.22,Temorlorong,248
$29345.53,Phra Pradaeng,252
$14726.68,Mamuša,37
$88764.56,Romblon,1145
$8133.96,Nizhniy Tsasuchey,447
$14877.02,Chillia,1173
$15740.79,Fordon,1420
$31644.10,Caohezhang,1356
$49096.90,Kacangan Lor,476
$31377.81,Buenos Aires,167
$16244.70,Bršadin,211
$13143.03,Havana,661
$95326.25,Paris 08,1492
$81843.25,Zhujiaqiao,1382
$43982.56,Aoshi,431
$45476.11,Tirlyanskiy,10
$3702.41,Jazovo,878
$98971.29,Changtang,1302
$65080.40,Filipstad,753
$32767.75,Drobin,427
$14680.11,Shorapani,340
$99250.83,Staraya Stanitsa,901
$458.78,Pashkovskiy,202
$47013.62,Chuantang,1419
$2100.77,Pereiras,1246
$15428.71,Esquipulas,449
$77561.10,Lilio,942
$89285.65,Ndendé,1302
$52261.67,Valparaíso,677
$74849.36,Zhaojia,1174
$18602.65,Międzyrzecz,248
$96196.91,Pamotan,690
$92296.71,Leyuan,174
$99083.77,Tobias Fornier,1330
$12638.27,Krasne,964
$47859.46,Jenesano,550
$39956.75,Bagratashen,879
$47291.74,Uritsk,525
$10817.89,Sallins,1440
$45770.35,Río de Oro,879
$15265.95,Tunguang,1080
$54182.03,Svetlogorsk,878
$65941.84,Cipanjang,151
$52574.67,Nakhon Nayok,1483
$48369.13,Kota Kinabalu,207
$32522.94,Радолишта,1315
$34647.78,Yuktae-dong,1175
$84371.86,Liuzuo,867
$34737.19,Aqsū,931
$38396.12,Cancas,576
$95214.08,Alquerubim,422
$6905.30,Sathing Phra,848
$75542.24,Iogach,467
$34506.72,Souto da Costa,641
$37748.92,Jieyang,568
$28552.15,Almaty,663
$31380.64,Dingle,337
$81247.62,Liangshan,997
$18491.45,Grand Junction,699
$91968.72,Kafr az Zayyāt,547
$8372.71,Ishikawa,589
$95792.64,Plomárion,972
$25436.32,Oliveira,459
$1408.41,Moutsamoudou,1411
$96354.24,Fengshan,1283
$73234.87,Kaishantun,1407
$30661.86,Kusi,1499
$15273.72,Jäppilä,1111
$72268.62,Muting,464
$98469.97,Caazapá,477
$21376.40,Portalegre,929
$79239.05,Wierzbica,914
$951.08,Kíti,506
$69642.36,Lubu,254
$84441.04,Krolevets’,563
$66323.21,Anren,1170
$87271.55,Manokwari,230
$25241.97,Ifon,827
$50869.97,Yun’an,1452
$62279.04,Lavras da Mangabeira,636
$43151.07,Chuanbu,328
$24897.00,Ipiales,424
$90485.71,Mandikbatu,1135
$85295.52,Daxing,723
$99661.23,Chợ Lầu,1235
$29846.72,Pateh Sam,558
$28612.84,Mont-Laurier,1
$79890.34,Pelópion,1045
$54176.89,Dakingari,1210
$9487.49,Motrico,886
$70462.86,Steinsel,1376
$62650.01,Yonghe,1068
$28566.96,Margamukti,286
$8303.76,Casal do Relvas,263
$36765.20,Nowosielce,320
$41582.75,Ibiá,566
$6494.28,Radocza,1264
$55639.18,Mandepa Barat,810
$85593.85,Cidamar,454
$57344.64,Blagaj,1286
$64939.76,Payxambabazar,784
$37487.90,Nizui,1172
$36557.94,Santo Domingo,836
$62357.24,Quiruvilca,1162
$40777.65,Enjitsu,1318
$39985.36,Rio,1269
$27354.73,Qiongshan,274
$63552.64,Ribamar,770
$89496.10,Ishikari,1076
$56326.12,Ribeira,1190
$1060.70,Taoling,793
$51345.01,San Francisco,666
$63254.65,Kabar Utara,413
$60920.06,Ea Drăng,816
$41298.03,Jiangyan,1430
$23532.18,Angers,939
$85859.41,Krasnyy Oktyabr’,76
$98396.26,Kotanopan,272
$12293.56,Qiaolin,1169
$84662.97,Smołdzino,63
$32520.53,Danidehe,1361
$47876.64,Tintina,654
$72390.53,Embalse,285
$92570.83,Norcasia,1126
$74754.79,Masty,1486
$68283.32,Zelmeņi,830
$36702.97,Cibungur,321
$96494.27,Jarigue,157
$32046.14,Dongming,720
$30135.88,Mierzęcice,396
$74743.76,Kotakaya Dua,543
$89680.93,Reiko,1265
$95856.42,Hajeom,478
$58586.42,Itajubá,788
$74033.10,Wangxian,790
$43358.04,Apengjiang,248
$8273.88,Oktyabr’sk,770
$28361.44,Nūsay,464
$69136.13,Vicente Guerrero,679
$23809.44,Ballinteer,1118
$27038.05,Ningchegu,678
$30596.77,Stockholm,891
$32791.72,Yŏng-dong,1156
$26408.36,Oulad Frej,437
$36848.81,Wangji,890
$72412.56,Virbalis,516
$47000.22,Shah Alam,382
$82428.67,Tutut,171
$67196.61,Sirdaryo,1255
$45401.24,Zinat,862
$20017.73,Livingstone,77
$42513.67,Färgelanda,905
$99543.45,Lappeenranta,1140
$26395.68,Balaogan,911
$18797.06,Ābyek,141
$43634.38,Néa Plágia,17
$62871.46,Napoli,74
$53230.11,Thorold,692
$35413.45,Shixi,334
$80329.33,Bosanski Šamac,766
$81264.62,Arma,143
$14821.36,Ndano,427
$2703.52,Trogan Barat,1157
$27245.17,Wola Filipowska,562
$82878.03,Palmas,231
$41581.83,Wadungasri,161
$61147.24,Wojcieszków,1020
